Layer: StatefulPartitionedCall/functional_1/conv2d_1/convolution__6 | Function: Reshape | Time: 0.081388ms | Status: PASS
Layer: StatefulPartitionedCall/functional_1/batch_normalization_1/batchnorm/mul_1 | Function: Mul | Time: 0.138687ms | Status: FAIL
Layer: StatefulPartitionedCall/functional_1/batch_normalization_1/batchnorm/add_1 | Function: Add | Time: 0.063846ms | Status: FAIL
Layer: StatefulPartitionedCall/functional_1/re_lu_1/Relu | Function: Relu | Time: 0.364748ms | Status: PASS
Layer: StatefulPartitionedCall/functional_1/conv2d_1/convolution__6 | Function: Reshape | Time: 0.041427ms | Status: PASS
Layer: StatefulPartitionedCall/functional_1/batch_normalization_1/batchnorm/mul_1 | Function: Mul | Time: 0.055918ms | Status: FAIL
Layer: StatefulPartitionedCall/functional_1/batch_normalization_1/batchnorm/add_1 | Function: Add | Time: 0.115179ms | Status: FAIL
Layer: StatefulPartitionedCall/functional_1/re_lu_1/Relu | Function: Relu | Time: 0.062297ms | Status: PASS
Layer: StatefulPartitionedCall/functional_1/conv2d_1/convolution__6 | Function: Reshape | Time: 0.121238ms | Status: FAIL
Layer: StatefulPartitionedCall/functional_1/batch_normalization_1/batchnorm/mul_1 | Function: Mul | Time: 0.048601ms | Status: FAIL
Layer: StatefulPartitionedCall/functional_1/batch_normalization_1/batchnorm/add_1 | Function: Add | Time: 0.316885ms | Status: FAIL
Layer: StatefulPartitionedCall/functional_1/re_lu_1/Relu | Function: Relu | Time: 0.081946ms | Status: PASS
Layer: StatefulPartitionedCall/functional_1/batch_normalization_1/batchnorm/mul_1 | Function: Mul | Time: 0.083955ms | Status: FAIL
Layer: StatefulPartitionedCall/functional_1/batch_normalization_1/batchnorm/add_1 | Function: Add | Time: 0.110701ms | Status: FAIL
Layer: StatefulPartitionedCall/functional_1/re_lu_1/Relu | Function: Relu | Time: 0.073831ms | Status: PASS
Layer: StatefulPartitionedCall/functional_1/batch_normalization_1/batchnorm/mul_1 | Function: Mul | Time: 0.014934ms | Status: FAIL
Layer: StatefulPartitionedCall/functional_1/batch_normalization_1/batchnorm/add_1 | Function: Add | Time: 0.063043ms | Status: FAIL
Layer: StatefulPartitionedCall/functional_1/re_lu_1/Relu | Function: Relu | Time: 0.06224ms | Status: PASS
Layer: StatefulPartitionedCall/functional_1/batch_normalization_1/batchnorm/mul_1 | Function: Mul | Time: 0.034629ms | Status: FAIL
Layer: StatefulPartitionedCall/functional_1/batch_normalization_1/batchnorm/add_1 | Function: Add | Time: 0.137286ms | Status: FAIL
Layer: StatefulPartitionedCall/functional_1/re_lu_1/Relu | Function: Relu | Time: 0.060306ms | Status: PASS
Layer: StatefulPartitionedCall/functional_1/batch_normalization_1/batchnorm/mul_1 | Function: Mul | Time: 0.279686ms | Status: FAIL
Layer: StatefulPartitionedCall/functional_1/batch_normalization_1/batchnorm/add_1 | Function: Add | Time: 0.097077ms | Status: FAIL
Layer: StatefulPartitionedCall/functional_1/re_lu_1/Relu | Function: Relu | Time: 0.062411ms | Status: PASS
Layer: StatefulPartitionedCall/functional_1/conv2d_1/convolution__6 | Function: Reshape | Time: 0.077599ms | Status: PASS
Layer: StatefulPartitionedCall/functional_1/batch_normalization_1/batchnorm/mul_1 | Function: Mul | Time: 0.068006ms | Status: FAIL
Layer: StatefulPartitionedCall/functional_1/batch_normalization_1/batchnorm/add_1 | Function: Add | Time: 0.10824ms | Status: FAIL
Layer: StatefulPartitionedCall/functional_1/re_lu_1/Relu | Function: Relu | Time: 0.053469ms | Status: PASS
Layer: StatefulPartitionedCall/functional_1/conv2d_1/convolution__6 | Function: Reshape | Time: 0.941784ms | Status: PASS
Layer: StatefulPartitionedCall/functional_1/batch_normalization_1/batchnorm/mul_1 | Function: Mul | Time: 0.101122ms | Status: FAIL
Layer: StatefulPartitionedCall/functional_1/batch_normalization_1/batchnorm/add_1 | Function: Add | Time: 0.117167ms | Status: FAIL
Layer: StatefulPartitionedCall/functional_1/re_lu_1/Relu | Function: Relu | Time: 0.069878ms | Status: PASS
Layer: StatefulPartitionedCall/functional_1/conv2d_1/convolution__6 | Function: Reshape | Time: 0.081247ms | Status: PASS
Layer: StatefulPartitionedCall/functional_1/batch_normalization_1/batchnorm/mul_1 | Function: Mul | Time: 0.344232ms | Status: FAIL
Layer: StatefulPartitionedCall/functional_1/batch_normalization_1/batchnorm/add_1 | Function: Add | Time: 0.323239ms | Status: FAIL
Layer: StatefulPartitionedCall/functional_1/re_lu_1/Relu | Function: Relu | Time: 0.061481ms | Status: PASS
Layer: StatefulPartitionedCall/functional_1/conv2d_1/convolution__6 | Function: Reshape | Time: 0.048157ms | Status: PASS
Layer: StatefulPartitionedCall/functional_1/batch_normalization_1/batchnorm/mul_1 | Function: Mul | Time: 0.06733ms | Status: FAIL
Layer: StatefulPartitionedCall/functional_1/batch_normalization_1/batchnorm/add_1 | Function: Add | Time: 0.111248ms | Status: FAIL
Layer: StatefulPartitionedCall/functional_1/re_lu_1/Relu | Function: Relu | Time: 0.070024ms | Status: PASS
Layer: StatefulPartitionedCall/functional_1/conv2d_1/convolution__6 | Function: Reshape | Time: 0.074791ms | Status: PASS
Layer: StatefulPartitionedCall/functional_1/batch_normalization_1/batchnorm/mul_1 | Function: Mul | Time: 0.055914ms | Status: FAIL
Layer: StatefulPartitionedCall/functional_1/batch_normalization_1/batchnorm/add_1 | Function: Add | Time: 0.0771ms | Status: FAIL
Layer: StatefulPartitionedCall/functional_1/re_lu_1/Relu | Function: Relu | Time: 0.057957ms | Status: PASS
Layer: StatefulPartitionedCall/functional_1/conv2d_1/convolution__6 | Function: Reshape | Time: 0.099223ms | Status: PASS
Layer: StatefulPartitionedCall/functional_1/batch_normalization_1/batchnorm/mul_1 | Function: Mul | Time: 0.065983ms | Status: FAIL
Layer: StatefulPartitionedCall/functional_1/batch_normalization_1/batchnorm/add_1 | Function: Add | Time: 0.11913ms | Status: FAIL
Layer: StatefulPartitionedCall/functional_1/re_lu_1/Relu | Function: Relu | Time: 0.113786ms | Status: PASS
